red,green,blue,label
710.28,675.33,630.55,ripe
691.39,659.01,646.43,ripe
672.84,673.24,708.81,ripe
778.34,643.31,644.30,ripe
694.93,640.96,623.57,ripe
707.37,599.28,593.10,ripe
718.68,620.01,581.37,ripe
697.76,629.12,588.06,ripe
715.53,550.26,475.48,ripe
650.25,407.85,428.90,ripe
661.97,447.75,522.81,ripe
661.37,488.03,483.11,ripe
613.45,502.58,498.52,ripe
658.61,515.04,459.52,ripe
658.98,496.40,481.89,ripe
661.41,512.51,442.71,ripe
578.44,518.75,542.07,ripe
643.84,597.96,583.95,ripe
628.44,424.77,415.12,ripe
621.78,432.34,464.47,ripe
714.36,593.83,734.35,ripe
779.54,836.58,741.14,ripe
739.16,668.64,723.69,ripe
752.50,767.50,778.77,ripe
840.47,751.12,622.74,ripe
892.04,796.50,838.53,ripe
905.57,883.80,918.47,ripe
938.41,964.98,936.28,ripe
968.26,888.77,874.50,ripe
957.24,939.31,945.04,ripe
964.62,957.45,951.40,ripe
615.80,694.97,772.37,ripe
884.87,766.23,595.03,ripe
583.63,586.56,689.48,ripe
704.51,544.70,504.74,ripe
720.26,542.39,436.05,ripe
849.15,814.27,575.40,ripe
678.22,499.37,649.00,ripe
672.55,587.47,803.46,ripe
769.71,717.20,659.73,ripe
790.20,753.30,755.13,ripe
801.98,754.39,747.84,ripe
824.03,787.83,795.55,ripe
824.68,667.18,643.45,ripe
814.12,783.25,844.11,ripe
894.90,828.77,752.91,ripe
825.00,760.94,781.74,ripe
850.97,834.36,844.77,ripe
853.82,797.20,795.26,ripe
834.43,784.44,813.90,ripe
855.62,837.62,834.46,ripe
850.09,829.87,828.55,ripe
848.00,833.29,825.40,ripe
844.99,824.17,823.12,ripe
845.61,824.16,823.63,ripe
842.64,810.71,793.35,ripe
827.62,807.25,800.24,ripe
828.16,806.36,789.64,ripe
836.43,792.45,786.19,ripe
842.08,770.68,758.20,ripe
818.96,746.21,741.46,ripe
818.14,770.69,781.73,ripe
812.61,722.48,780.69,ripe
854.87,826.83,801.81,ripe
802.97,761.18,851.72,ripe
881.41,847.96,840.10,ripe
625.88,658.77,695.16,unripe
737.94,698.65,719.91,unripe
760.47,722.30,759.96,unripe
800.35,775.21,759.31,unripe
810.02,766.90,768.58,unripe
805.37,774.44,764.22,unripe
808.82,781.36,775.53,unripe
814.63,770.01,773.64,unripe
813.65,782.99,778.96,unripe
814.32,783.09,779.59,unripe
809.94,828.31,886.40,unripe
889.33,864.25,863.65,unripe
885.31,843.13,851.39,unripe
883.41,874.65,884.05,unripe
919.27,917.87,905.87,unripe
923.82,910.83,903.92,unripe
898.95,874.29,824.16,unripe
769.56,673.00,682.58,unripe
793.14,887.61,883.04,unripe
898.89,858.45,851.48,unripe
880.58,844.94,869.46,unripe
936.07,903.82,902.15,unripe
958.10,933.91,931.80,unripe
944.95,889.76,805.92,unripe
895.00,906.12,903.41,unripe
932.37,903.61,883.76,unripe
904.64,888.11,874.58,unripe
849.65,684.48,530.22,unripe
640.09,578.21,541.01,unripe
752.98,551.32,525.72,unripe
759.89,635.36,629.30,unripe
793.00,659.40,676.10,unripe
822.81,739.59,711.17,unripe
835.68,746.15,718.41,unripe
838.88,720.24,687.35,unripe
847.15,698.58,600.60,unripe
703.46,581.74,526.73,unripe
706.82,572.32,539.87,unripe
645.97,557.90,527.97,unripe
708.67,583.19,535.64,unripe
704.25,598.00,552.78,unripe
709.79,602.26,594.88,unripe
760.79,573.02,598.01,unripe
721.26,631.62,626.46,unripe
